person_id,sex,age,age_bucket,demographic_target,background,skin_tone,weathering_note,distinguishing_marks_note,hard_living_note,habitus_note,habitus_group,aesthetic_note,attractiveness_note,front_image_path,side_image_path,back_image_path
person_001,male,21,18-29 young men,black,East African ancestry,dark brown skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged",,,"lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,images/person_001_front.png,images/person_001_side.png,images/person_001_back.png
person_002,male,24,18-29 young men,asian,Southeast Asian ancestry,medium olive skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness",,,"slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face",images/person_002_front.png,images/person_002_side.png,images/person_002_back.png
person_003,male,27,18-29 young men,hispanic_latino,Andean Latino ancestry,golden beige skin,"mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age",,,"average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,images/person_003_front.png,images/person_003_side.png,images/person_003_back.png
person_004,male,18,18-29 young men,hispanic_latino,Southern Cone Latino ancestry,light olive skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","uneven old acne scarring around the cheeks, jawline, and temples",,"average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance",images/person_004_front.png,images/person_004_side.png,images/person_004_back.png
person_005,male,21,18-29 young men,hispanic_latino,Mexican ancestry,medium tan skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness",,,"solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,images/person_005_front.png,images/person_005_side.png,images/person_005_back.png
person_006,male,24,18-29 young men,hispanic_latino,Central American ancestry,warm brown skin,"mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age",,,"heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive",images/person_006_front.png,images/person_006_side.png,images/person_006_back.png
person_007,male,27,18-29 young men,hispanic_latino,Caribbean Latino ancestry,golden beige skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged",ice-pick acne scarring on the cheeks and temples with enlarged pores,,"very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,images/person_007_front.png,images/person_007_side.png,images/person_007_back.png
person_008,male,18,18-29 young men,hispanic_latino,Andean Latino ancestry,light olive skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","several small natural facial moles of varied size, asymmetrically placed",,"large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,images/person_008_front.png,images/person_008_side.png,images/person_008_back.png
person_009,male,21,18-29 young men,white,Scandinavian ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age",ice-pick acne scarring on the cheeks and temples with enlarged pores,,"stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion",images/person_009_front.png,images/person_009_side.png,images/person_009_back.png
person_010,male,24,18-29 young men,white,Baltic European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged",,,"obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,images/person_010_front.png,images/person_010_side.png,images/person_010_back.png
person_011,male,27,18-29 young men,white,mixed Northern and Southern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness",,"hard-living facial wear: tired eyelids, mottled complexion, dehydrated-looking skin, and slightly hollow temples; no explicit diagnosis","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,images/person_011_front.png,images/person_011_side.png,images/person_011_back.png
person_012,male,18,18-29 young men,white,Central Mediterranean ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","uneven old acne scarring around the cheeks, jawline, and temples",,"very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face",images/person_012_front.png,images/person_012_side.png,images/person_012_back.png
person_013,male,21,18-29 young men,white,Caucasus-region ancestry with fair-to-olive complexion,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged",,,"lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,images/person_013_front.png,images/person_013_side.png,images/person_013_back.png
person_014,male,24,18-29 young men,white,Northern European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","multiple tiny flat moles on the face and scalp, all natural-looking",,"slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance",images/person_014_front.png,images/person_014_side.png,images/person_014_back.png
